YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DELAYED,DEP_HOUR,SEASON,IS_WEEKEND,IS_PEAK_DELAY_HOUR,WEATHER_IMPACT
2015,9,5,6,WN,6285,N8629A,SEA,DEN,1130,1128.0,-2.0,22.0,1150.0,160.0,153.0,125.0,1024,1455.0,6.0,1510,1501.0,-9.0,0,0,,,,,,0.0,0,11,Fall,1,0,0
2015,4,5,7,AA,2436,N492AA,DFW,SMF,1705,1659.0,-6.0,24.0,1723.0,235.0,245.0,211.0,1431,1854.0,10.0,1900,1904.0,4.0,0,0,,,,,,0.0,0,17,Spring,1,1,0
2015,10,2,5,UA,628,N813UA,12266,10721,1550,1610.0,20.0,27.0,1637.0,247.0,236.0,201.0,1597,2058.0,8.0,2057,2106.0,9.0,0,0,,,,,,0.0,0,15,Fall,0,0,0
2015,3,8,7,UA,1717,N37462,ORD,PHX,2206,2233.0,27.0,13.0,2246.0,235.0,212.0,196.0,1440,2.0,3.0,1,5.0,4.0,0,0,,,,,,0.0,0,22,Spring,1,0,0
2015,10,1,4,UA,343,N826UA,11618,10721,700,651.0,-9.0,18.0,709.0,69.0,60.0,36.0,200,745.0,6.0,809,751.0,-18.0,0,0,,,,,,0.0,0,7,Fall,0,0,0
2015,12,30,3,WN,1542,N7735A,PIT,MDW,945,1037.0,52.0,9.0,1046.0,95.0,82.0,67.0,402,1053.0,6.0,1020,1059.0,39.0,0,0,,34.0,0.0,0.0,5.0,0.0,1,9,Winter,0,0,0
2015,11,8,7,DL,2184,N988AT,ATL,SDF,1454,1503.0,9.0,12.0,1515.0,81.0,70.0,53.0,321,1608.0,5.0,1615,1613.0,-2.0,0,0,,,,,,0.0,0,14,Fall,1,0,0
2015,4,13,1,US,1728,N550UW,MCO,PHL,1200,1152.0,-8.0,14.0,1206.0,148.0,139.0,120.0,861,1406.0,5.0,1428,1411.0,-17.0,0,0,,,,,,0.0,0,12,Spring,0,0,0
2015,12,13,7,DL,2310,N977DL,DFW,ATL,1050,1042.0,-8.0,18.0,1100.0,122.0,119.0,94.0,731,1334.0,7.0,1352,1341.0,-11.0,0,0,,,,,,0.0,0,10,Winter,1,0,0
2015,6,25,4,B6,934,N558JB,SJU,MCO,1346,1406.0,20.0,9.0,1415.0,180.0,229.0,161.0,1189,1656.0,59.0,1646,1755.0,69.0,0,0,,49.0,0.0,8.0,12.0,0.0,1,13,Summer,0,0,0
2015,3,9,1,UA,1233,N76288,PDX,ORD,1359,1410.0,11.0,11.0,1421.0,229.0,221.0,204.0,1739,1945.0,6.0,1948,1951.0,3.0,0,0,,,,,,0.0,0,13,Spring,0,0,0
2015,10,27,2,WN,51,N524SW,11259,12191,1900,1951.0,51.0,8.0,1959.0,65.0,55.0,44.0,239,2043.0,3.0,2005,2046.0,41.0,0,0,,0.0,0.0,0.0,41.0,0.0,1,19,Fall,0,1,0
2015,4,20,1,MQ,3289,N613MQ,SUX,ORD,1554,1551.0,-3.0,7.0,1558.0,101.0,84.0,65.0,436,1703.0,12.0,1735,1715.0,-20.0,0,0,,,,,,0.0,0,15,Spring,0,0,0
2015,9,9,3,MQ,3324,N8EGMQ,ORD,CMH,2145,2140.0,-5.0,13.0,2153.0,80.0,62.0,44.0,296,2337.0,5.0,5,2342.0,-23.0,0,0,,,,,,0.0,0,21,Fall,0,0,0
2015,7,23,4,HA,192,N489HA,HNL,ITO,1545,1546.0,1.0,16.0,1602.0,51.0,57.0,36.0,216,1638.0,5.0,1636,1643.0,7.0,0,0,,,,,,0.0,0,15,Summer,0,0,0
2015,11,16,1,DL,1913,N952AT,ATL,LIT,855,855.0,0.0,15.0,910.0,90.0,93.0,73.0,453,923.0,5.0,925,928.0,3.0,0,0,,,,,,0.0,0,8,Fall,0,0,0
2015,11,29,7,MQ,3572,N653MQ,CMH,MIA,1800,1829.0,29.0,16.0,1845.0,167.0,153.0,133.0,990,2058.0,4.0,2047,2102.0,15.0,0,0,,0.0,0.0,0.0,15.0,0.0,1,18,Fall,1,1,0
2015,7,31,5,AA,2053,N924US,IAH,CLT,700,656.0,-4.0,13.0,709.0,153.0,146.0,122.0,912,1011.0,11.0,1033,1022.0,-11.0,0,0,,,,,,0.0,0,7,Summer,0,0,0
2015,3,18,3,AA,1172,N3MEAA,SNA,ORD,647,642.0,-5.0,25.0,707.0,243.0,256.0,212.0,1726,1239.0,19.0,1250,1258.0,8.0,0,0,,,,,,0.0,0,6,Spring,0,0,0
2015,1,29,4,EV,2504,N902EV,MHK,DFW,1705,1652.0,-13.0,10.0,1702.0,88.0,86.0,69.0,431,1811.0,7.0,1833,1818.0,-15.0,0,0,,,,,,0.0,0,17,Winter,0,1,0
2015,3,2,1,WN,371,N946WN,PIT,DEN,930,929.0,-1.0,22.0,951.0,230.0,260.0,232.0,1290,1143.0,6.0,1120,1149.0,29.0,0,0,,29.0,0.0,0.0,0.0,0.0,1,9,Spring,0,0,0
2015,6,27,6,WN,1297,N291WN,ECP,DAL,920,914.0,-6.0,8.0,922.0,125.0,106.0,94.0,674,1056.0,4.0,1125,1100.0,-25.0,0,0,,,,,,0.0,0,9,Summer,1,0,0
2015,3,24,2,HA,42,N386HA,OGG,SFO,1435,1425.0,-10.0,9.0,1434.0,295.0,298.0,280.0,2338,2214.0,9.0,2230,2223.0,-7.0,0,0,,,,,,0.0,0,14,Spring,0,0,0
2015,8,6,4,B6,2184,N374JB,RDU,BOS,900,850.0,-10.0,17.0,907.0,109.0,107.0,86.0,612,1033.0,4.0,1049,1037.0,-12.0,0,0,,,,,,0.0,0,9,Summer,0,0,0
2015,2,19,4,B6,170,N337JB,FLL,BOS,1611,1608.0,-3.0,41.0,1649.0,187.0,264.0,181.0,1237,1950.0,42.0,1918,2032.0,74.0,0,0,,74.0,0.0,0.0,0.0,0.0,1,16,Winter,0,1,0
2015,3,19,4,EV,5143,N980EV,ATL,ROA,907,900.0,-7.0,30.0,930.0,80.0,86.0,51.0,357,1021.0,5.0,1027,1026.0,-1.0,0,0,,,,,,0.0,0,9,Spring,0,0,0
2015,1,8,4,NK,642,N530NK,TPA,DTW,1450,1446.0,-4.0,19.0,1505.0,155.0,172.0,143.0,983,1728.0,10.0,1725,1738.0,13.0,0,0,,,,,,0.0,0,14,Winter,0,0,0
2015,7,19,7,WN,300,N209WN,DEN,TPA,1825,1850.0,25.0,16.0,1906.0,210.0,217.0,195.0,1506,21.0,6.0,2355,27.0,32.0,0,0,,7.0,0.0,5.0,20.0,0.0,1,18,Summer,1,1,0
2015,3,20,5,OO,5620,N716SK,DFW,LAX,1620,1625.0,5.0,15.0,1640.0,211.0,189.0,171.0,1235,1731.0,3.0,1751,1734.0,-17.0,0,0,,,,,,0.0,0,16,Spring,0,1,0
2015,5,2,6,DL,1440,N316NB,SLC,MSP,555,552.0,-3.0,13.0,605.0,149.0,136.0,120.0,991,905.0,3.0,924,908.0,-16.0,0,0,,,,,,0.0,0,5,Spring,1,0,0
2015,6,11,4,DL,1863,N906AT,LIT,ATL,1202,1157.0,-5.0,9.0,1206.0,96.0,86.0,68.0,453,1414.0,9.0,1438,1423.0,-15.0,0,0,,,,,,0.0,0,12,Summer,0,0,0
2015,12,4,5,B6,1383,N334JB,BOS,RDU,845,837.0,-8.0,13.0,850.0,127.0,126.0,101.0,612,1031.0,12.0,1052,1043.0,-9.0,0,0,,,,,,0.0,0,8,Winter,0,0,0
2015,8,1,6,B6,365,N585JB,SMF,LGB,1722,1725.0,3.0,12.0,1737.0,79.0,78.0,63.0,387,1840.0,3.0,1841,1843.0,2.0,0,0,,,,,,0.0,0,17,Summer,1,1,0
2015,10,29,4,AA,1304,N520AA,13851,11298,1045,1040.0,-5.0,11.0,1051.0,67.0,54.0,34.0,175,1125.0,9.0,1152,1134.0,-18.0,0,0,,,,,,0.0,0,10,Fall,0,0,0
2015,4,5,7,WN,889,N937WN,FLL,BWI,705,658.0,-7.0,11.0,709.0,160.0,157.0,130.0,925,919.0,16.0,945,935.0,-10.0,0,0,,,,,,0.0,0,7,Spring,1,0,0
2015,9,28,1,EV,4491,N26549,EVV,ORD,614,604.0,-10.0,15.0,619.0,75.0,75.0,51.0,272,710.0,9.0,729,719.0,-10.0,0,0,,,,,,0.0,0,6,Fall,0,0,0
2015,1,25,7,B6,2006,N625JB,FLL,EWR,615,608.0,-7.0,13.0,621.0,165.0,162.0,144.0,1065,845.0,5.0,900,850.0,-10.0,0,0,,,,,,0.0,0,6,Winter,1,0,0
2015,5,11,1,B6,1427,N292JB,BOS,BWI,1929,2055.0,86.0,22.0,2117.0,93.0,88.0,63.0,369,2220.0,3.0,2102,2223.0,81.0,0,0,,0.0,0.0,0.0,81.0,0.0,1,19,Spring,0,1,0
2015,5,23,6,AS,536,N795AS,SEA,ONT,1755,1753.0,-2.0,11.0,1804.0,143.0,139.0,124.0,956,2008.0,4.0,2018,2012.0,-6.0,0,0,,,,,,0.0,0,17,Spring,1,1,0
2015,8,18,2,F9,1265,N922FR,ORD,LAS,2000,2127.0,87.0,52.0,2219.0,235.0,272.0,203.0,1514,2342.0,17.0,2155,2359.0,124.0,0,0,,124.0,0.0,0.0,0.0,0.0,1,20,Summer,0,1,0
2015,4,16,4,DL,1531,N946DL,LGA,ATL,1200,1159.0,-1.0,35.0,1234.0,168.0,160.0,118.0,762,1432.0,7.0,1448,1439.0,-9.0,0,0,,,,,,0.0,0,12,Spring,0,0,0
2015,8,25,2,AA,2486,N3EYAA,LGA,MIA,659,655.0,-4.0,26.0,721.0,186.0,181.0,151.0,1096,952.0,4.0,1005,956.0,-9.0,0,0,,,,,,0.0,0,6,Summer,0,0,0
2015,10,17,6,WN,4740,N8323C,12889,14057,1115,1117.0,2.0,18.0,1135.0,135.0,127.0,105.0,763,1320.0,4.0,1330,1324.0,-6.0,0,0,,,,,,0.0,0,11,Fall,1,0,0
2015,8,4,2,AA,1764,N769US,FLL,DCA,700,656.0,-4.0,13.0,709.0,149.0,152.0,130.0,899,919.0,9.0,929,928.0,-1.0,0,0,,,,,,0.0,0,7,Summer,0,0,0
2015,8,7,5,OO,5510,N909SW,DSM,DEN,2019,2108.0,49.0,16.0,2124.0,121.0,120.0,100.0,589,2204.0,4.0,2120,2208.0,48.0,0,0,,0.0,0.0,0.0,48.0,0.0,1,20,Summer,0,1,0
2015,12,1,2,AA,2164,N963UW,LGA,DCA,1700,1718.0,18.0,28.0,1746.0,86.0,90.0,53.0,214,1839.0,9.0,1826,1848.0,22.0,0,0,,4.0,0.0,0.0,13.0,5.0,1,17,Winter,0,1,1
2015,12,18,5,DL,2286,N964DL,ATL,MIA,857,904.0,7.0,17.0,921.0,112.0,111.0,88.0,594,1049.0,6.0,1049,1055.0,6.0,0,0,,,,,,0.0,0,8,Winter,0,0,0
2015,7,12,7,WN,4484,N694SW,LAX,SFO,905,901.0,-4.0,13.0,914.0,80.0,70.0,52.0,337,1006.0,5.0,1025,1011.0,-14.0,0,0,,,,,,0.0,0,9,Summer,1,0,0
2015,8,23,7,DL,2629,N834DN,DTW,ORD,1515,1515.0,0.0,49.0,1604.0,85.0,106.0,52.0,235,1556.0,5.0,1540,1601.0,21.0,0,0,,21.0,0.0,0.0,0.0,0.0,1,15,Summer,1,0,0
2015,3,1,7,DL,1337,N960DN,TUS,MSP,1435,1432.0,-3.0,23.0,1455.0,190.0,175.0,149.0,1298,1824.0,3.0,1845,1827.0,-18.0,0,0,,,,,,0.0,0,14,Spring,1,0,0
2015,4,16,4,UA,1167,N77510,EWR,SFO,1440,1457.0,17.0,31.0,1528.0,375.0,361.0,324.0,2565,1752.0,6.0,1755,1758.0,3.0,0,0,,,,,,0.0,0,14,Spring,0,0,0
2015,8,7,5,OO,6369,N917SW,TUS,SFO,731,728.0,-3.0,12.0,740.0,138.0,135.0,118.0,751,938.0,5.0,949,943.0,-6.0,0,0,,,,,,0.0,0,7,Summer,0,0,0
2015,5,20,3,DL,2615,N329NB,OMA,MSP,1141,1140.0,-1.0,14.0,1154.0,70.0,62.0,42.0,282,1236.0,6.0,1251,1242.0,-9.0,0,0,,,,,,0.0,0,11,Spring,0,0,0
2015,3,8,7,MQ,3183,N922MQ,DFW,MSN,1440,1444.0,4.0,16.0,1500.0,131.0,134.0,105.0,821,1645.0,13.0,1651,1658.0,7.0,0,0,,,,,,0.0,0,14,Spring,1,0,0
2015,6,7,7,DL,780,N3751B,ATL,CVG,1400,1357.0,-3.0,14.0,1411.0,90.0,78.0,58.0,373,1509.0,6.0,1530,1515.0,-15.0,0,0,,,,,,0.0,0,14,Summer,1,0,0
2015,10,30,5,AA,1217,N4XGAA,11267,11298,620,612.0,-8.0,14.0,626.0,156.0,158.0,129.0,861,735.0,15.0,756,750.0,-6.0,0,0,,,,,,0.0,0,6,Fall,0,0,0
2015,9,8,2,WN,2988,N495WN,DAL,DEN,1325,1344.0,19.0,16.0,1400.0,125.0,120.0,98.0,651,1438.0,6.0,1430,1444.0,14.0,0,0,,,,,,0.0,0,13,Fall,0,0,0
2015,11,1,7,DL,2574,N895AT,DLH,MSP,700,705.0,5.0,12.0,717.0,73.0,50.0,34.0,144,751.0,4.0,813,755.0,-18.0,0,0,,,,,,0.0,0,7,Fall,1,0,0
2015,12,8,2,EV,5909,N12135,ORD,LAN,2052,2044.0,-8.0,22.0,2106.0,61.0,60.0,30.0,179,2236.0,8.0,2253,2244.0,-9.0,0,0,,,,,,0.0,0,20,Winter,0,1,0
2015,3,24,2,B6,15,N944JB,JFK,SFO,645,641.0,-4.0,15.0,656.0,395.0,377.0,355.0,2586,951.0,7.0,1020,958.0,-22.0,0,0,,,,,,0.0,0,6,Spring,0,0,0
2015,6,14,7,AA,69,N5EHAA,MIA,LAX,1705,1904.0,119.0,13.0,1917.0,331.0,319.0,297.0,2342,2114.0,9.0,1936,2123.0,107.0,0,0,,0.0,0.0,107.0,0.0,0.0,1,17,Summer,1,1,0
2015,12,21,1,DL,1596,N915DN,MSP,LGA,1916,1925.0,9.0,14.0,1939.0,163.0,146.0,123.0,1020,2242.0,9.0,2259,2251.0,-8.0,0,0,,,,,,0.0,0,19,Winter,0,1,0
2015,5,24,7,AS,763,N469AS,MCO,SAN,1735,1733.0,-2.0,19.0,1752.0,321.0,299.0,276.0,2149,1928.0,4.0,1956,1932.0,-24.0,0,0,,,,,,0.0,0,17,Spring,1,1,0
2015,2,17,2,UA,1082,N33714,SFO,EWR,607,608.0,1.0,16.0,624.0,328.0,330.0,306.0,2565,1430.0,8.0,1435,1438.0,3.0,0,0,,,,,,0.0,0,6,Winter,0,0,0
2015,5,16,6,OO,5447,N975SW,MKE,ORD,1251,1258.0,7.0,11.0,1309.0,54.0,47.0,27.0,67,1336.0,9.0,1345,1345.0,0.0,0,0,,,,,,0.0,0,12,Spring,1,0,0
2015,7,18,6,DL,1064,N920AT,MYR,ATL,1412,1426.0,14.0,8.0,1434.0,86.0,65.0,50.0,317,1524.0,7.0,1538,1531.0,-7.0,0,0,,,,,,0.0,0,14,Summer,1,0,0
2015,4,2,4,WN,2962,N7718B,BWI,FLL,2155,2153.0,-2.0,11.0,2204.0,155.0,143.0,127.0,925,11.0,5.0,30,16.0,-14.0,0,0,,,,,,0.0,0,21,Spring,0,0,0
2015,11,15,7,OO,3467,N227AG,TUS,PDX,1245,1242.0,-3.0,9.0,1251.0,187.0,151.0,139.0,1119,1410.0,3.0,1452,1413.0,-39.0,0,0,,,,,,0.0,0,12,Fall,1,0,0
2015,9,2,3,WN,3181,N450WN,MDW,BDL,900,858.0,-2.0,9.0,907.0,120.0,117.0,103.0,777,1150.0,5.0,1200,1155.0,-5.0,0,0,,,,,,0.0,0,9,Fall,0,0,0
2015,8,3,1,AA,351,N4XCAA,IAH,DFW,1606,1557.0,-9.0,18.0,1615.0,79.0,73.0,40.0,224,1655.0,15.0,1725,1710.0,-15.0,0,0,,,,,,0.0,0,16,Summer,0,1,0
2015,9,9,3,OO,7426,N910EV,MSP,INL,1126,1122.0,-4.0,33.0,1155.0,76.0,77.0,40.0,255,1235.0,4.0,1242,1239.0,-3.0,0,0,,,,,,0.0,0,11,Fall,0,0,0
2015,9,25,5,AA,1879,N765US,TPA,CLT,510,506.0,-4.0,11.0,517.0,94.0,91.0,71.0,507,628.0,9.0,644,637.0,-7.0,0,0,,,,,,0.0,0,5,Fall,0,0,0
2015,4,22,3,UA,417,N441UA,ORD,PHL,1745,1740.0,-5.0,14.0,1754.0,133.0,103.0,83.0,678,2017.0,6.0,2058,2023.0,-35.0,0,0,,,,,,0.0,0,17,Spring,0,1,0
2015,2,22,7,WN,1885,N209WN,HOU,LAX,2105,2111.0,6.0,8.0,2119.0,225.0,232.0,204.0,1390,2243.0,20.0,2250,2303.0,13.0,0,0,,,,,,0.0,0,21,Winter,1,0,0
2015,7,22,3,WN,2950,N913WN,BWI,MDW,2155,2210.0,15.0,15.0,2225.0,120.0,115.0,96.0,611,2301.0,4.0,2255,2305.0,10.0,0,0,,,,,,0.0,0,21,Summer,0,0,0
2015,2,16,1,DL,1824,N917DL,BWI,ATL,1745,1749.0,4.0,52.0,1841.0,129.0,167.0,106.0,577,2027.0,9.0,1954,2036.0,42.0,0,0,,42.0,0.0,0.0,0.0,0.0,1,17,Winter,0,1,0
2015,7,3,5,AA,610,N566UW,SFO,PHX,600,554.0,-6.0,8.0,602.0,122.0,121.0,102.0,651,744.0,11.0,802,755.0,-7.0,0,0,,,,,,0.0,0,6,Summer,0,0,0
2015,11,27,5,DL,1142,N942DL,ATL,ABQ,1659,1652.0,-7.0,12.0,1704.0,214.0,194.0,176.0,1269,1800.0,6.0,1833,1806.0,-27.0,0,0,,,,,,0.0,0,16,Fall,0,1,0
2015,5,28,4,DL,2232,N757AT,MSP,MKE,1505,1506.0,1.0,15.0,1521.0,67.0,64.0,44.0,297,1605.0,5.0,1612,1610.0,-2.0,0,0,,,,,,0.0,0,15,Spring,0,0,0
2015,4,21,2,OO,5332,N951SW,ORD,PAH,1414,1406.0,-8.0,30.0,1436.0,80.0,85.0,50.0,342,1526.0,5.0,1534,1531.0,-3.0,0,0,,,,,,0.0,0,14,Spring,0,0,0
